id,ln_x1,x1,x3,x4,x6,x2,T,ln_y,y,x5,S
1,3.953456599,52.11519721,0,0,1,12,1,7.098966897,1210.715634,15,1
2,3.471602288,32.18827605,0,0,1,5,0,6.786619687,885.9138282,8,1
3,4.105527114,60.67471862,0,1,1,13,1,7.472909834,1759.719736,20,1
4,3.48118577,32.49823468,1,1,0,20,1,9.671027634,15851.63033,16,1
5,3.891460896,48.98239247,0,0,0,11,1,8.425363368,4561.301909,11,1
6,4.185993618,65.75880759,1,1,1,9,1,6.874294979,967.0933041,13,1
7,3.08334179,21.83123603,1,1,1,13,1,8.269135011,3901.572714,17,1
8,3.41636337,30.45844726,1,1,1,8,1,8.301178301,4028.616519,9,1
9,3.460003599,31.81709103,0,1,1,5,1,7.009444942,1107.039863,4,1
10,3.690785119,40.07629929,1,0,1,13,1,6.979735298,1074.633871,15,1
11,3.414724124,30.40855927,1,0,1,12,1,7.884412961,2655.565647,13,1
12,2.703063374,14.92538379,0,1,0,15,1,7.689178951,2184.580179,19,1
13,2.767859921,15.9245178,1,1,1,18,1,8.708072954,6051.569593,17,1
14,3.896034004,49.20690719,0,0,1,13,1,7.988954307,2948.212423,16,1
15,3.408008422,30.20502864,0,1,1,10,1,7.584076679,1966.629964,13,1
16,2.96560747,19.40648852,1,1,0,13,1,7.98485037,2936.137937,11,1
17,3.448424793,31.45081174,0,1,1,12,1,7.641693279,2083.268385,8,1
18,3.86440241,47.67477394,0,1,1,8,1,8.346360794,4214.814222,10,1
19,4.068558038,58.47258655,1,1,0,14,1,7.938838436,2804.101473,15,1
20,3.370859261,29.10352383,1,0,1,10,1,7.293422043,1470.594535,15,1
21,3.422819185,30.65571746,1,0,1,10,1,7.745009286,2310.014975,10,1
22,2.971051074,19.51241783,1,1,0,14,1,8.073744392,3209.095472,20,1
23,3.638029206,38.01683951,1,1,0,13,1,8.697072764,5985.365969,13,1
24,3.308001537,27.33045197,1,1,0,17,1,7.952640506,2843.072196,17,1
25,3.636635037,37.96387452,1,0,0,8,1,7.689894407,2186.143708,5,1
26,3.711451201,40.91313666,0,1,1,14,1,8.574032947,5292.430902,13,1
27,3.810531057,45.17442267,0,0,1,17,1,7.325801133,1518.990324,14,1
28,3.317322087,27.58637765,1,1,1,17,1,8.266217267,3890.205514,20,1
29,3.651486537,38.53190259,1,1,1,11,1,7.547988993,1896.924166,16,1
30,2.984897396,19.78447217,0,0,0,9,1,7.869956073,2617.45061,10,1
31,3.264662297,26.17127139,0,1,1,12,0,8.061937222,3171.427949,18,1
32,3.244727722,25.65472389,0,1,1,7,1,7.839791212,2539.674524,14,1
33,2.775737705,16.05046314,0,0,1,7,0,7.2535085,1413.053861,5,1
34,3.510836782,33.47626841,1,1,1,11,1,8.234648285,3769.313941,12,1
35,3.56179958,35.22653311,1,1,1,15,1,7.083926673,1192.642453,13,1
36,3.39168281,29.71591647,0,1,1,20,1,9.488309955,13204.46032,20,1
37,3.727448971,41.57291904,1,1,0,14,1,8.504625057,4937.552575,11,1
38,3.281988552,26.62867258,1,1,1,10,1,8.01644661,3030.390021,13,1
39,3.089515687,21.96643676,1,1,0,16,1,7.444073235,1709.700067,19,1
40,3.629845408,37.70698696,0,0,0,7,1,8.03800656,3096.434477,9,1
41,3.256582047,25.96065304,1,1,1,13,1,8.726531498,6164.310066,9,0
42,3.933230379,51.07169238,1,1,0,15,1,8.793564255,6591.684803,17,1
43,3.370566139,29.09499421,1,0,0,9,1,7.499822892,1807.722224,13,1
44,3.696694365,40.31382108,0,1,0,15,1,9.095883163,8918.501011,20,1
45,3.59657758,36.47319399,1,1,1,16,1,7.680560628,2165.833659,20,1
46,3.264848318,26.17614023,0,1,1,14,1,8.306688761,4050.877329,15,1
47,3.972718256,53.12875228,0,1,1,12,1,7.935944473,2795.998238,20,1
48,3.692869792,40.15993238,1,1,1,13,1,8.082656974,3237.824634,12,1
49,3.526928194,34.01930624,0,1,1,15,1,8.923916599,7509.443188,16,1
50,3.582965224,35.9800718,1,0,1,18,1,8.236282082,3775.477269,20,1
51,3.703786645,40.60075428,0,1,1,12,1,8.642402916,5666.930634,16,1
52,3.526949866,34.02004351,0,1,1,11,1,7.675539134,2154.985199,15,1
53,2.602072975,13.49167698,0,1,1,11,1,8.412765954,4504.201712,14,1
54,3.585464886,36.07012232,0,1,0,17,1,8.750276623,6312.43403,14,1
55,3.389829607,29.66089784,0,0,0,18,0,6.962435837,1056.203165,18,1
56,3.555569169,35.00773963,0,1,1,11,1,8.245314829,3809.734684,13,1
57,3.674547118,39.43079532,1,1,1,13,1,7.675534807,2154.975873,13,1
58,3.919921048,50.39646573,1,1,1,15,1,8.231443367,3757.252936,17,1
59,3.281812382,26.62398183,1,1,1,6,1,7.212505534,1356.286235,8,1
60,3.89076279,48.94820947,1,1,1,13,1,7.849310782,2563.966576,11,0
61,3.600754436,36.62585588,0,1,1,14,1,8.378578234,4352.815838,16,1
62,3.81155183,45.22055905,0,0,0,14,1,7.288897178,1463.955324,14,1
63,3.77621857,43.65066734,1,1,0,16,1,7.978716426,2918.182956,15,1
64,3.716263449,41.11049529,1,1,1,12,1,8.377519603,4348.210249,13,1
65,3.187064318,24.21722891,1,0,1,13,1,8.004377765,2994.036527,13,1
66,3.472944084,32.23149513,1,0,1,13,1,7.211527309,1354.96013,13,1
67,3.687055449,39.92710628,1,0,1,15,1,6.821504188,917.3638603,20,1
68,3.213942993,24.87698286,1,1,0,12,1,7.614835657,2028.061433,9,1
69,3.337151356,28.13885484,0,0,1,12,1,7.279169787,1449.783896,19,1
70,3.674298949,39.42101104,1,1,1,8,1,8.368846014,4310.658751,7,1
71,3.730453621,41.69801899,0,1,1,16,1,9.215066632,10047.37447,18,1
72,3.639130277,38.05872176,1,1,1,12,1,8.350743131,4233.32549,13,0
73,3.234267111,25.38775854,0,1,1,10,1,7.900563083,2698.801549,9,1
74,3.17006573,23.80904928,1,1,1,13,1,8.565193974,5245.85738,17,1
